restaurant_id,restaurant_name,address,latitude,longitude,cuisine_types,avg_rating,opening_hours,contact_number,delivery_available,dine_in_available,features,restaurant_type,price_level
r013,Dindigul Thalappakatti,"No.145/1A, 1B,1C,1D, Avinashi Road, Taluk, Neelambur, Sulur, Tamil Nadu 641062",11.0603497,77.0347508,"Arabian,Tandoor",4.45,11:00-23:30,+91 422 232299,TRUE,TRUE,Buffet;Pet Friendly;Outdoor Seating,Quick Service,Low
r014,Modern Restaurant,"1/446 -C, Avinashi Rd, Neelambur, Tamil Nadu 641062",11.060858,77.0823222,Tandoor,3.52,6:00-21:30,+91 422 253585,FALSE,FALSE,Live Music;Pet Friendly;Outdoor Seating,Quick Service,Low
r015,24x7 Bytes Restaurant,"116/2, Avinashi Rd, Mylampatti, Post, Chinniyampalayam, Coimbatore, Tamil Nadu 641048",11.0582005,77.0674612,Snacks,3.47,12:00-00:00,+91 422 274044,FALSE,TRUE,Pet Friendly;Parking;AC,Quick Service,High
r016,Bow Bow Bliss Multicuisine Restaurant,"121A,Kattur street, Kalapatti-Kurumbapalayam Rd, Coimbatore, Tamil Nadu 641048",11.0873343,77.0308009,Chinese,3.48,7:00-23:00,+91 422 252557,FALSE,TRUE,Pet Friendly;Wifi;Live Music,Cafe,Low
r017,Yellow Hut Café & Restaurant,"Sharp Nagar, Nehru Nagar West, Coimbatore, Tamil Nadu 641048",11.0609188,77.0323989,"Arabian,North Indian,Snacks",3.66,7:00-23:00,+91 422 259080,FALSE,TRUE,Family Friendly;Live Music;Buffet,Quick Service,Moderate
r018,Kanakadhara Restaurant,"724/4B, off Avinashi Road, Thottipalayam, Pudhukkuttai Thottam, Coimbatore, Tamil Nadu 641048",11.0564707,77.0484031,"Tandoor,Arabian",3.99,11:00-23:30,+91 422 212693,TRUE,FALSE,Play Area;Outdoor Seating;Live Music,Quick Service,Low
r019,The Malabar Restaurant,"No 7 Sastri Road - Hotel KK Residency Building Behind Central Bus Stand, Gandhipuram, 91, Sathyamurthy Rd, Ram Nagar, Coimbatore, Tamil Nadu 641009",11.0144406,76.9635936,"North Indian,South Indian,Snacks",3.85,12:00-00:00,+91 422 279163,TRUE,FALSE,Parking;Wifi,Quick Service,Moderate
r020,Sree Subbu mess,"Lajapathrai St, Ram Nagar Main, Ram Nagar, Gandhipuram, Coimbatore, Tamil Nadu 641018",11.0144667,76.955842,"North Indian,Biriyani,Snacks",3.64,6:00-21:30,+91 422 235939,FALSE,TRUE,Wifi;Parking;Pet Friendly;Live Music,Fine Dining,High
r021,Shree Anandhaas,"22QR+X59, Access Rd, Peelamedu, Madhusudhan Layout, Civil Aerodrome Post, Coimbatore, Tamil Nadu 641014",11.042635,77.0265325,Chinese,4.12,7:00-23:00,+91 422 258925,TRUE,FALSE,Live Music;Outdoor Seating;Pet Friendly;AC,Quick Service,Low
r022,Valarmathi mess,"CSI Compound, 207/A, Race Course, Coimbatore, Tamil Nadu 641018",11.0018417,76.9733541,"South Indian,Biriyani",3.41,12:00-00:00,+91 422 252941,TRUE,TRUE,Parking;AC,Cafe,High
r023,Hotel Cheap & Best,"604, Marakkadai Junction, NH 948, Town Hall, Coimbatore, Tamil Nadu 641001",11.0085932,76.9539462,"Tandoor,Biriyani,Snacks",3.64,12:00-00:00,+91 422 231834,TRUE,TRUE,Family Friendly;Parking;Outdoor Seating,Quick Service,Low
r024,Junior Kuppana,"1256 A,avinashi road, Nava India Rd, near KFC, Coimbatore, Tamil Nadu 641037",11.0086955,76.9229389,"Chinese,Snacks,North Indian",3.75,11:00-23:30,+91 422 228047,FALSE,FALSE,Wifi;AC,Quick Service,Moderate
r025,SMS hotels,"1335, Avinashi Rd, near Old shanthi theatre, Peelamedu, Coimbatore, Tamil Nadu 641004",11.0226473,76.9959571,"Chinese,South Indian,Arabian",3.88,7:00-23:00,+91 422 236105,FALSE,FALSE,Buffet;Live Music;Play Area,Cafe,High
r026,Britain To Bombay 1800,"E Arokiasamy Rd, above Arasan opticals, R.S. Puram, Coimbatore, Tamil Nadu 641002",11.006558,76.9492486,"Biriyani,Tandoor",4.38,7:00-23:00,+91 422 285766,TRUE,TRUE,Family Friendly;Parking,Quick Service,Low
r027,Raaju Sri Rayappas,"Singapore Plaza, 333, Cross Cut Rd, Peranaidu Layout, Ram Nagar, Gandhipuram, Coimbatore, Tamil Nadu 641009",11.0163958,76.9577369,"Chinese,Arabian,Biriyani",3.5,6:00-21:30,+91 422 225707,FALSE,FALSE,Wifi;Parking,Cafe,Moderate
r028,Aasife & Brothers Briyani Centre,Aasife & Brothers Briyani Centre,11.0164425,76.9396639,Snacks,3.97,7:00-23:00,+91 422 231976,FALSE,FALSE,Play Area;Family Friendly;Live Music;Buffet,Quick Service,High
r029,The Kitchen by Chai N' Gupshup,"Ground Floor, 800/14, East, Nehru Nagar West, Kalapatti, Coimbatore, Tamil Nadu 641014",11.0542907,77.0364006,"Arabian,North Indian,Snacks",4.09,6:00-21:30,+91 422 254262,FALSE,TRUE,Pet Friendly;Outdoor Seating,Cafe,High
r030,SKS Hotel,"1/142-12, Kathir College Rd, NPS Nagar, Anna Nagar, Neelambur, Tamil Nadu 641062",11.0592301,77.0705452,Chinese,3.27,7:00-23:00,+91 422 233776,FALSE,TRUE,Play Area;AC,Quick Service,Low
r031,MHR BRIYANI HOUSE,"1/445-B, Avinashi Rd, Cexus Nagar, Neelambur, Tamil Nadu 641062",11.046224,77.0332457,"Tandoor,Chinese",4.11,11:00-23:30,91 422 240080,FALSE,FALSE,Buffet;Pet Friendly;Wifi,Quick Service,Low
r032,HOTEL VELAVAN,"1/443, Avinashi Rd, Cexus Nagar, Coimbatore, Neelambur, Tamil Nadu 641062",11.046224,77.0332457,"Chinese,Arabian",3.46,7:00-23:00,+91 422 276842,TRUE,TRUE,Family Friendly;Pet Friendly,Fine Dining,Low
r033,Ambur Star Briyani,"573,Sasthri, Avinashi Rd, opp. KMCH Hospital, Chitra Nagar, Coimbatore, Tamil Nadu 641014",11.0400514,77.0403137,Biriyani,3.3,6:00-21:30,+91 422 271373,FALSE,TRUE,Parking;Live Music;AC;Play Area,Fine Dining,Moderate
r034,Kovai Durbar SITRA,"131-A, AMS Complex Avinashi Road, Sitra Rd, opp. Kalapatti Road, Coimbatore, Tamil Nadu 641014",11.0383828,77.0380952,Arabian,4.62,6:00-21:30,+91 422 216776,TRUE,FALSE,Outdoor Seating;Pet Friendly,Quick Service,Low
r035,Hotel Pasiyaaru,"161, NK PALAYAM ROAD VARADHARAJAPURAM, Singanallur, Tamil Nadu 641015",11.0067136,77.0264076,"Snacks,South Indian",4.65,11:00-23:30,+91 422 265016,TRUE,TRUE,AC;Live Music;Parking;Wifi,Quick Service,High
r036,MG Kerala Mess,"Gandhi Street, Peelamedu, Hope College, Coimbatore, Tamil Nadu 641004",11.0271522,77.018663,"South Indian,Tandoor,Biriyani",4.41,7:00-23:00,+91 422 219474,FALSE,TRUE,Buffet;Family Friendly;AC;Outdoor Seating,Bakery,High
r037,SALEM RR BIRIYANI PEELAMEDU COIMBATORE,"Clusters Connect, Food Court, E6 & E7, Kamarajar Rd, Near Hope College, Chitra Nagar, Hope College, Coimbatore, Tamil Nadu 641004",11.0246625,77.0212084,"Arabian,Snacks,Tandoor",3.66,7:00-23:00,+91 422 268053,TRUE,FALSE,AC;Live Music,Cafe,Low
r038,Kalakki unavagam,"95, Nehru Street, near FunMall, Peelamedu, Coimbatore, Tamil Nadu 641004",11.0250677,77.0118883,South Indian,3.35,11:00-23:30,+91 422 231959,TRUE,FALSE,Outdoor Seating;Wifi;AC;Parking,Bakery,Low
r039,VKS Restaurant,"236J+9MP, Pirivu, Selvaraja Puram, Pappampatti, Kannampalayam, Tamil Nadu 641103",11.0108557,77.0817555,"South Indian,Snacks,Chinese",4.23,7:00-23:00,+91 422 215530,TRUE,TRUE,Live Music;AC,Fine Dining,High
r040,The South Indian Cafe,"Kumaran Garden, 647/1C2, Thudiyalur - Saravanampatti Rd, Saravanampatti, Coimbatore, Tamil Nadu 641035",11.0825011,76.9866391,Chinese,3.86,7:00-23:00,+91 422 213748,FALSE,TRUE,Parking;Live Music,Fine Dining,Moderate
r041,Nagerkovil Arya Bhavan,"751, Avinashi Rd, Peelamedu, Masakalipalayam, Coimbatore, Tamil Nadu 641004",11.0217919,76.9960794,"South Indian,Arabian",3.38,6:00-21:30,+91 422 223545,FALSE,FALSE,Buffet;Wifi;AC,Fine Dining,Low
r042,"Hotel Aahaaram
","No. 686, 3, Avinashi Rd, Rangasamy Gounden Pudur, Coimbatore, Tamil Nadu 641062",11.0501964,77.0585092,"Tandoor,Arabian",3.94,7:00-23:00,+91 422 276199,TRUE,FALSE,Parking;Live Music,Fine Dining,Low
r043,Ananda Bhavan,"235C+97Q, near hindustan petroleum, L&T bye pass, Trichy Rd, signal, 641103",11.0085995,77.0709047,"Snacks,South Indian",3.25,7:00-23:00,+91 422 244766,FALSE,FALSE,Live Music;Pet Friendly;Wifi,Quick Service,High
r044,Covai ANGANAN Biriyani House,"657, TRISTAR ENCLAVE, 657, Avinashi Rd, next to HYUNDAI SHOWROOM, Puliakulam, Coimbatore, Tamil Nadu 641037",11.0120314,76.9852248,Biriyani,4.56,11:00-23:30,+91 422 283530,FALSE,FALSE,Pet Friendly;Parking;AC,Fine Dining,Low
r045,Four Cups,"Puliakulam Rd, Dhamu Nagar, Coimbatore, Tamil Nadu 641045",11.009077,76.9902418,"Chinese,Arabian",3.59,11:00-23:30,+91 422 271087,FALSE,TRUE,Family Friendly;Wifi;Play Area;AC,Quick Service,Moderate
r046,Sivakami Biriyani,"no.19, New Dhamu Nagar, Coimbatore, Tamil Nadu 641045",11.0052841,76.9892417,"Snacks,North Indian",4.19,12:00-00:00,+91 422 278840,FALSE,FALSE,Wifi;Live Music;Play Area;Pet Friendly,Quick Service,High
r047,HMR BIRIYANI HUT,"890, Trichy Rd, Bharathi Nagar, Signal, Ramanathapuram, Coimbatore, Tamil Nadu 641045",10.9969883,76.9957913,"South Indian,North Indian",3.67,6:00-21:30,+91 422 264384,TRUE,FALSE,Pet Friendly;Family Friendly,Fine Dining,Low
r048,Shree Anandhaas,"Bus Stop, Shop No.177 Pollachi Main Rd Sundarapuram, 325, Pollachi Main Rd, near Iyer Hospital, Sundarapuram, Coimbatore, Kurichi, Tamil Nadu 641024",10.9592006,76.9717561,Tandoor,3.98,7:00-23:00,+91 422 261005,TRUE,TRUE,Play Area;Parking;Buffet;AC,Fine Dining,High
r049,Annapoorna,"149, 150 & 151, Pollachi Main Rd, Sundarapuram, Coimbatore, Kurichi, Tamil Nadu 641024",10.95655,76.9723582,Chinese,4.02,7:00-23:00,+91 422 256576,FALSE,FALSE,Play Area;AC,Cafe,Low
r050,FiveStar Garden,"287/3E, Vellalore, L&T Bypass, Coimbatore, Tamil Nadu 641201",10.9622708,77.0295743,"South Indian,North Indian,Snacks",3.48,12:00-00:00,+91 422 249353,FALSE,TRUE,Live Music;Family Friendly;Pet Friendly;Outdoor Seating,Bakery,Low
