food_id,food_name,restaurant_id,description,category,veg_nonveg,ingredients,dish_type,popular_in,price_level
f011,Schezwan Chicken Rice,r001,Spicy fried rice cooked with shredded chicken and Schezwan sauce.,Fried Rice,Non-Veg,"[""rice"",""chicken"",""schezwan sauce"",""spring onion"",""soy sauce"",""oil""]",main_course,India,Moderate
f012,Steamed Rice,r001,Plain boiled rice.,Rice,Veg,"[""rice"",""water""]",side_dish,India,Low
f013,Special Curd Rice,r001,Curd mixed rice with seasoning.,Curd / Rice Items,Veg,"[""rice"",""curd"",""mustard"",""curry leaves"",""green chili"",""salt""]",side_dish,South India,Low
f014,Chicken Biryani,r001,Tamil Nadu style biryani with jeeraga samba rice and tender chicken.,Biryani,Non-Veg,"[""jeeraga samba rice"",""chicken"",""onion"",""tomato"",""ginger garlic paste"",""chili powder"",""biryani masala"",""ghee"",""curd"",""coriander"",""mint"",""oil"",""salt""]",main_course,Tamil Nadu,Moderate
f015,Egg Biryani,r001,Fragrant biryani rice cooked with boiled eggs.,Biryani,Egg,"[""jeeraga samba rice"",""egg"",""onion"",""tomato"",""ginger garlic paste"",""chili powder"",""biryani masala"",""mint"",""curd"",""oil"",""salt""]",main_course,Tamil Nadu,Low
f016,Plain Biryani,r001,Spiced biryani rice without any meat or egg.,Biryani,Veg,"[""jeeraga samba rice"",""onion"",""tomato"",""ginger garlic paste"",""chili powder"",""biryani masala"",""curd"",""mint"",""coriander"",""oil"",""salt""]",main_course,Tamil Nadu,Low
f017,Chicken Kheema Biryani,r002,Biryani prepared using minced chicken.,Biryani,Non-Veg,"[""jeeraga samba rice"",""minced chicken"",""onion"",""tomato"",""ginger garlic paste"",""green chili"",""biryani masala"",""mint"",""oil"",""salt""]",main_course,Tamil Nadu,Low
f018,Nattukozhi Biryani,r002,Village style biryani with country chicken.,Biryani,Non-Veg,"[""jeeraga samba rice"",""country chicken"",""onion"",""tomato"",""ginger garlic paste"",""green chili"",""biryani masala"",""ghee"",""mint"",""coriander"",""salt""]",main_course,Tamil Nadu,Low
f019,Arisi Paruppu Sadham,r002,Mild rice dish with dal and minimal spices.,Meals / Rice Items,Veg,"[""rice"",""toor dal"",""turmeric"",""ghee"",""mustard"",""curry leaves"",""salt""]",main_course,Tamil Nadu,Low
f020,Non-Veg Meals,r002,Traditional Tamil meal served with rice and gravies.,Meals,Non-Veg,"[""rice"",""sambar"",""rasam"",""thanni kulambu"",""veg poriyal"",""papad"",""pickle""]",full_meal,Tamil Nadu,Low
f021,Dosa,r002,South Indian crepe made from fermented batter.,Tiffin,Veg,"[""rice"",""urad dal"",""salt"",""oil""]",tiffin,Tamil Nadu,Low
f022,Egg Dosa,r002,Dosa topped with beaten egg and pepper.,Tiffin,Egg,"[""rice batter"",""egg"",""pepper"",""salt"",""oil""]",tiffin,Tamil Nadu,Low
f023,Roast,r002,Crispy golden dosa served large.,Tiffin,Veg,"[""rice"",""urad dal"",""oil"",""salt""]",tiffin,Tamil Nadu,Low
f024,Ghee Roast,r002,Crispy dosa roasted in ghee.,Tiffin,Veg,"[""rice"",""urad dal"",""ghee"",""salt""]",tiffin,Tamil Nadu,Low
f025,Ghee Podi Roast,r002,Dosa sprinkled with spicy podi roasted in ghee.,Tiffin,Veg,"[""rice batter"",""ghee"",""spicy podi"",""oil""]",tiffin,Tamil Nadu,Low
f026,Small Onion Uttapam,r002,Thick dosa topped with shallots.,Tiffin,Veg,"[""rice batter"",""small onion"",""oil"",""salt""]",tiffin,Tamil Nadu,Low
f027,Chapathi,r002,Whole wheat flatbread.,Parotta & Breads,Veg,"[""wheat flour"",""water"",""salt""]",bread,India,Low
f028,Phulka,r002,Soft puffed chapathi.,Parotta & Breads,Veg,"[""wheat flour"",""water"",""salt""]",bread,India,Low
f029,Parotta,r002,Layered flaky bread made with maida.,Parotta & Breads,Veg,"[""maida"",""oil"",""salt"",""water""]",parotta,Tamil Nadu,Low
f030,Nool Parotta,r002,String-layered parotta.,Parotta & Breads,Veg,"[""maida"",""oil"",""salt""]",parotta,Tamil Nadu,Low
f031,Bun Parotta,r002,Thick fluffy parotta.,Parotta & Breads,Veg,"[""maida"",""oil"",""salt"",""water""]",parotta,Tamil Nadu,Low
f032,Veechu Parotta,r002,Thin stretched parotta.,Parotta & Breads,Veg,"[""maida"",""oil"",""salt""]",parotta,Tamil Nadu,Low
f033,Egg Kothu Parotta,r002,Minced parotta scrambled with egg and salna.,Parotta & Breads,Egg,"[""parotta"",""egg"",""onion"",""salna"",""chili powder"",""oil"",""salt""]",kothu,Tamil Nadu,Low
f034,Egg Veechu Parotta,r002,Veechu parotta layered with beaten egg.,Parotta & Breads,Egg,"[""maida"",""egg"",""oil"",""salt""]",parotta,Tamil Nadu,Low
f035,Egg Poriyal,r002,Stir-fried scrambled egg.,Egg Dishes,Egg,"[""egg"",""onion"",""green chili"",""oil"",""salt""]",side_dish,Tamil Nadu,Low
f036,Omelette,r002,Egg cooked flat with onion & pepper.,Egg Dishes,Egg,"[""egg"",""onion"",""pepper"",""salt"",""oil""]",side_dish,India,Low
f037,Kalaki,r002,Soft runny omelette.,Egg Dishes,Egg,"[""egg"",""pepper"",""salt"",""oil""]",side_dish,Tamil Nadu,Low
f038,Curd,r002,Plain curd.,Curd / Rice Items,Veg,"[""curd""]",side_dish,India,Low
f039,Special Curd,r002,Curd mixed with coriander and seasoning.,Curd / Rice Items,Veg,"[""curd"",""coriander"",""green chili"",""salt""]",side_dish,Tamil Nadu,Low
f040,Curd Rice,r002,Rice mixed with curd and tempered.,Curd / Rice Items,Veg,"[""rice"",""curd"",""curry leaves"",""mustard"",""salt""]",side_dish,South India,Low
f041,Special Curd Rice,r002,Enhanced curd rice with butter & pomegranate.,Curd / Rice Items,Veg,"[""rice"",""curd"",""butter"",""pomegranate"",""curry leaves"",""salt""]",side_dish,Tamil Nadu,Low
f001,Veg Fried Rice,r003,Stir-fried long grain rice with mixed vegetables and mild seasoning.,Fried Rice,Veg,"[""rice"",""carrot"",""beans"",""peas"",""spring onion"",""soy sauce"",""oil"",""salt""]",main_course,South India,Moderate
f004,Mushroom Fried Rice,r003,Veg fried rice variation with sautéed mushrooms.,Fried Rice,Veg,"[""rice"",""mushroom"",""spring onion"",""soy sauce"",""pepper"",""oil"",""salt""]",main_course,South India,Low
f009,Schezwan Veg Fried Rice,r003,Spicy Indo-Chinese fried rice with Schezwan sauce.,Fried Rice,Veg,"[""rice"",""capsicum"",""carrot"",""spring onion"",""schezwan sauce"",""soy sauce"",""oil""]",main_course,India,Low
f023,Roast,r003,Crispy golden dosa served large.,Tiffin,Veg,"[""rice"",""urad dal"",""oil"",""salt""]",tiffin,Tamil Nadu,Low
f024,Ghee Roast,r003,Crispy dosa roasted in ghee.,Tiffin,Veg,"[""rice"",""urad dal"",""ghee"",""salt""]",tiffin,Tamil Nadu,Low
f026,Small Onion Uttapam,r003,Thick dosa topped with shallots.,Tiffin,Veg,"[""rice batter"",""small onion"",""oil"",""salt""]",tiffin,Tamil Nadu,Low
f002,Egg Fried Rice,r004,Fried rice cooked with scrambled egg and spices.,Fried Rice,Egg,"[""rice"",""egg"",""spring onion"",""soy sauce"",""pepper"",""oil"",""salt""]",main_course,South India,Low
f003,Chicken Fried Rice,r004,Fried rice with shredded chicken and mild Indo-Chinese seasoning.,Fried Rice,Non-Veg,"[""rice"",""chicken"",""soy sauce"",""spring onion"",""pepper"",""oil"",""salt""]",main_course,South India,Moderate
f010,Schezwan Egg Fried Rice,r004,Schezwan fried rice with scrambled egg.,Fried Rice,Egg,"[""rice"",""egg"",""schezwan sauce"",""spring onion"",""soy sauce"",""oil""]",main_course,India,Low
f011,Schezwan Chicken Rice,r004,Spicy fried rice cooked with shredded chicken and Schezwan sauce.,Fried Rice,Non-Veg,"[""rice"",""chicken"",""schezwan sauce"",""spring onion"",""soy sauce"",""oil""]",main_course,India,Moderate
f029,Parotta,r004,Layered flaky bread made with maida.,Parotta & Breads,Veg,"[""maida"",""oil"",""salt"",""water""]",parotta,Tamil Nadu,Low
f030,Nool Parotta,r004,String-layered parotta.,Parotta & Breads,Veg,"[""maida"",""oil"",""salt""]",parotta,Tamil Nadu,Low
f031,Bun Parotta,r004,Thick fluffy parotta.,Parotta & Breads,Veg,"[""maida"",""oil"",""salt"",""water""]",parotta,Tamil Nadu,Low
f032,Veechu Parotta,r004,Thin stretched parotta.,Parotta & Breads,Veg,"[""maida"",""oil"",""salt""]",parotta,Tamil Nadu,Low
f033,Egg Kothu Parotta,r004,Minced parotta scrambled with egg and salna.,Parotta & Breads,Egg,"[""parotta"",""egg"",""onion"",""salna"",""chili powder"",""oil"",""salt""]",kothu,Tamil Nadu,Low
f034,Egg Veechu Parotta,r004,Veechu parotta layered with beaten egg.,Parotta & Breads,Egg,"[""maida"",""egg"",""oil"",""salt""]",parotta,Tamil Nadu,Low
f020,Non-Veg Meals,r004,Traditional Tamil meal served with rice and gravies.,Meals,Non-Veg,"[""rice"",""sambar"",""rasam"",""thanni kulambu"",""veg poriyal"",""papad"",""pickle""]",full_meal,Tamil Nadu,Low
f040,Curd Rice,r004,Rice mixed with curd and tempered.,Curd / Rice Items,Veg,"[""rice"",""curd"",""curry leaves"",""mustard"",""salt""]",side_dish,South India,Low
f014,Chicken Biryani,r004,Tamil Nadu style biryani with jeeraga samba rice and tender chicken.,Biryani,Non-Veg,"[""jeeraga samba rice"",""chicken"",""onion"",""tomato"",""ginger garlic paste"",""chili powder"",""biryani masala"",""ghee"",""curd"",""coriander"",""mint"",""oil"",""salt""]",main_course,Tamil Nadu,Moderate
f015,Egg Biryani,r004,Fragrant biryani rice cooked with boiled eggs.,Biryani,Egg,"[""jeeraga samba rice"",""egg"",""onion"",""tomato"",""ginger garlic paste"",""chili powder"",""biryani masala"",""mint"",""curd"",""oil"",""salt""]",main_course,Tamil Nadu,Low
f016,Plain Biryani,r004,Spiced biryani rice without any meat or egg.,Biryani,Veg,"[""jeeraga samba rice"",""onion"",""tomato"",""ginger garlic paste"",""chili powder"",""biryani masala"",""curd"",""mint"",""coriander"",""oil"",""salt""]",main_course,Tamil Nadu,Low
f029,Parotta,r005,Layered flaky bread made with maida.,Parotta & Breads,Veg,"[""maida"",""oil"",""salt"",""water""]",parotta,Tamil Nadu,Low
f032,Veechu Parotta,r005,Thin stretched parotta.,Parotta & Breads,Veg,"[""maida"",""oil"",""salt""]",parotta,Tamil Nadu,Low
f001,Veg Fried Rice,r005,Stir-fried long grain rice with mixed vegetables and mild seasoning.,Fried Rice,Veg,"[""rice"",""carrot"",""beans"",""peas"",""spring onion"",""soy sauce"",""oil"",""salt""]",main_course,South India,Moderate
f002,Egg Fried Rice,r005,Fried rice cooked with scrambled egg and spices.,Fried Rice,Egg,"[""rice"",""egg"",""spring onion"",""soy sauce"",""pepper"",""oil"",""salt""]",main_course,South India,Low
f003,Chicken Fried Rice,r005,Fried rice with shredded chicken and mild Indo-Chinese seasoning.,Fried Rice,Non-Veg,"[""rice"",""chicken"",""soy sauce"",""spring onion"",""pepper"",""oil"",""salt""]",main_course,South India,Moderate
f004,Mushroom Fried Rice,r005,Veg fried rice variation with sautéed mushrooms.,Fried Rice,Veg,"[""rice"",""mushroom"",""spring onion"",""soy sauce"",""pepper"",""oil"",""salt""]",main_course,South India,Low
f009,Schezwan Veg Fried Rice,r005,Spicy Indo-Chinese fried rice with Schezwan sauce.,Fried Rice,Veg,"[""rice"",""capsicum"",""carrot"",""spring onion"",""schezwan sauce"",""soy sauce"",""oil""]",main_course,India,Low
f010,Schezwan Egg Fried Rice,r005,Schezwan fried rice with scrambled egg.,Fried Rice,Egg,"[""rice"",""egg"",""schezwan sauce"",""spring onion"",""soy sauce"",""oil""]",main_course,India,Low
f011,Schezwan Chicken Rice,r005,Spicy fried rice cooked with shredded chicken and Schezwan sauce.,Fried Rice,Non-Veg,"[""rice"",""chicken"",""schezwan sauce"",""spring onion"",""soy sauce"",""oil""]",main_course,India,Moderate
f033,Egg Kothu Parotta,r005,Minced parotta scrambled with egg and salna.,Parotta & Breads,Egg,"[""parotta"",""egg"",""onion"",""salna"",""chili powder"",""oil"",""salt""]",kothu,Tamil Nadu,Low
f034,Egg Veechu Parotta,r005,Veechu parotta layered with beaten egg.,Parotta & Breads,Egg,"[""maida"",""egg"",""oil"",""salt""]",parotta,Tamil Nadu,Low
f040,Curd Rice,r005,Rice mixed with curd and tempered.,Curd / Rice Items,Veg,"[""rice"",""curd"",""curry leaves"",""mustard"",""salt""]",side_dish,South India,Low
f014,Chicken Biryani,r005,Tamil Nadu style biryani with jeeraga samba rice and tender chicken.,Biryani,Non-Veg,"[""jeeraga samba rice"",""chicken"",""onion"",""tomato"",""ginger garlic paste"",""chili powder"",""biryani masala"",""ghee"",""curd"",""coriander"",""mint"",""oil"",""salt""]",main_course,Tamil Nadu,Moderate
f015,Egg Biryani,r005,Fragrant biryani rice cooked with boiled eggs.,Biryani,Egg,"[""jeeraga samba rice"",""egg"",""onion"",""tomato"",""ginger garlic paste"",""chili powder"",""biryani masala"",""mint"",""curd"",""oil"",""salt""]",main_course,Tamil Nadu,Low
f016,Plain Biryani,r005,Spiced biryani rice without any meat or egg.,Biryani,Veg,"[""jeeraga samba rice"",""onion"",""tomato"",""ginger garlic paste"",""chili powder"",""biryani masala"",""curd"",""mint"",""coriander"",""oil"",""salt""]",main_course,Tamil Nadu,Low
f023,Roast,r006,Crispy golden dosa served large.,Tiffin,Veg,"[""rice"",""urad dal"",""oil"",""salt""]",tiffin,Tamil Nadu,Low
f024,Ghee Roast,r006,Crispy dosa roasted in ghee.,Tiffin,Veg,"[""rice"",""urad dal"",""ghee"",""salt""]",tiffin,Tamil Nadu,Low
f001,Veg Fried Rice,r006,Stir-fried long grain rice with mixed vegetables and mild seasoning.,Fried Rice,Veg,"[""rice"",""carrot"",""beans"",""peas"",""spring onion"",""soy sauce"",""oil"",""salt""]",main_course,South India,Moderate
f004,Mushroom Fried Rice,r006,Veg fried rice variation with sautéed mushrooms.,Fried Rice,Veg,"[""rice"",""mushroom"",""spring onion"",""soy sauce"",""pepper"",""oil"",""salt""]",main_course,South India,Low
f009,Schezwan Veg Fried Rice,r006,Spicy Indo-Chinese fried rice with Schezwan sauce.,Fried Rice,Veg,"[""rice"",""capsicum"",""carrot"",""spring onion"",""schezwan sauce"",""soy sauce"",""oil""]",main_course,India,Low
f027,Chapathi,r006,Whole wheat flatbread.,Parotta & Breads,Veg,"[""wheat flour"",""water"",""salt""]",bread,India,Low
f040,Curd Rice,r006,Rice mixed with curd and tempered.,Curd / Rice Items,Veg,"[""rice"",""curd"",""curry leaves"",""mustard"",""salt""]",side_dish,South India,Low
f036,Omelette,r007,Egg cooked flat with onion & pepper.,Egg Dishes,Egg,"[""egg"",""onion"",""pepper"",""salt"",""oil""]",side_dish,India,Low
f037,Kalaki,r007,Soft runny omelette.,Egg Dishes,Egg,"[""egg"",""pepper"",""salt"",""oil""]",side_dish,Tamil Nadu,Low
f029,Parotta,r007,Layered flaky bread made with maida.,Parotta & Breads,Veg,"[""maida"",""oil"",""salt"",""water""]",parotta,Tamil Nadu,Low
f031,Bun Parotta,r007,Thick fluffy parotta.,Parotta & Breads,Veg,"[""maida"",""oil"",""salt"",""water""]",parotta,Tamil Nadu,Low
f030,Nool Parotta,r007,String-layered parotta.,Parotta & Breads,Veg,"[""maida"",""oil"",""salt""]",parotta,Tamil Nadu,Low
f032,Veechu Parotta,r007,Thin stretched parotta.,Parotta & Breads,Veg,"[""maida"",""oil"",""salt""]",parotta,Tamil Nadu,Low
f033,Egg Kothu Parotta,r007,Minced parotta scrambled with egg and salna.,Parotta & Breads,Egg,"[""parotta"",""egg"",""onion"",""salna"",""chili powder"",""oil"",""salt""]",kothu,Tamil Nadu,Low
f034,Egg Veechu Parotta,r007,Veechu parotta layered with beaten egg.,Parotta & Breads,Egg,"[""maida"",""egg"",""oil"",""salt""]",parotta,Tamil Nadu,Low
f023,Roast,r007,Crispy golden dosa served large.,Tiffin,Veg,"[""rice"",""urad dal"",""oil"",""salt""]",tiffin,Tamil Nadu,Low
f024,Ghee Roast,r007,Crispy dosa roasted in ghee.,Tiffin,Veg,"[""rice"",""urad dal"",""ghee"",""salt""]",tiffin,Tamil Nadu,Low
f020,Non-Veg Meals,r007,Traditional Tamil meal served with rice and gravies.,Meals,Non-Veg,"[""rice"",""sambar"",""rasam"",""thanni kulambu"",""veg poriyal"",""papad"",""pickle""]",full_meal,Tamil Nadu,Low
f040,Curd Rice,r007,Rice mixed with curd and tempered.,Curd / Rice Items,Veg,"[""rice"",""curd"",""curry leaves"",""mustard"",""salt""]",side_dish,South India,Low
f016,Plain Biryani,r007,Spiced biryani rice without any meat or egg.,Biryani,Veg,"[""jeeraga samba rice"",""onion"",""tomato"",""ginger garlic paste"",""chili powder"",""biryani masala"",""curd"",""mint"",""coriander"",""oil"",""salt""]",main_course,Tamil Nadu,Low
f015,Egg Biryani,r007,Fragrant biryani rice cooked with boiled eggs.,Biryani,Egg,"[""jeeraga samba rice"",""egg"",""onion"",""tomato"",""ginger garlic paste"",""chili powder"",""biryani masala"",""mint"",""curd"",""oil"",""salt""]",main_course,Tamil Nadu,Low
f014,Chicken Biryani,r007,Tamil Nadu style biryani with jeeraga samba rice and tender chicken.,Biryani,Non-Veg,"[""jeeraga samba rice"",""chicken"",""onion"",""tomato"",""ginger garlic paste"",""chili powder"",""biryani masala"",""ghee"",""curd"",""coriander"",""mint"",""oil"",""salt""]",main_course,Tamil Nadu,Moderate
f001,Veg Fried Rice,r008,Stir-fried long grain rice with mixed vegetables and mild seasoning.,Fried Rice,Veg,"[""rice"",""carrot"",""beans"",""peas"",""spring onion"",""soy sauce"",""oil"",""salt""]",main_course,South India,Moderate
f002,Egg Fried Rice,r008,Fried rice cooked with scrambled egg and spices.,Fried Rice,Egg,"[""rice"",""egg"",""spring onion"",""soy sauce"",""pepper"",""oil"",""salt""]",main_course,South India,Low
f003,Chicken Fried Rice,r008,Fried rice with shredded chicken and mild Indo-Chinese seasoning.,Fried Rice,Non-Veg,"[""rice"",""chicken"",""soy sauce"",""spring onion"",""pepper"",""oil"",""salt""]",main_course,South India,Moderate
f006,Jeera Rice,r008,Fragrant rice tempered with cumin seeds and ghee.,Rice,Veg,"[""rice"",""cumin"",""ghee"",""salt""]",side_dish,North India,Low
f008,Ghee Rice,r008,Simple flavored rice cooked with ghee and whole spices.,Rice,Veg,"[""rice"",""ghee"",""cloves"",""cinnamon"",""bay leaf"",""salt""]",main_course,South India,Low
f007,Garlic Rice,r008,Rice flavored with roasted garlic and herbs.,Rice,Veg,"[""rice"",""garlic"",""butter"",""pepper"",""salt""]",side_dish,India,Low
f005,Paneer Rice,r008,Rice tossed with soft paneer cubes and mild masala.,Fried Rice,Veg,"[""rice"",""paneer"",""onion"",""garam masala"",""oil"",""salt""]",main_course,India,Low
f004,Mushroom Fried Rice,r008,Veg fried rice variation with sautéed mushrooms.,Fried Rice,Veg,"[""rice"",""mushroom"",""spring onion"",""soy sauce"",""pepper"",""oil"",""salt""]",main_course,South India,Low
f009,Schezwan Veg Fried Rice,r008,Spicy Indo-Chinese fried rice with Schezwan sauce.,Fried Rice,Veg,"[""rice"",""capsicum"",""carrot"",""spring onion"",""schezwan sauce"",""soy sauce"",""oil""]",main_course,India,Low
f010,Schezwan Egg Fried Rice,r008,Schezwan fried rice with scrambled egg.,Fried Rice,Egg,"[""rice"",""egg"",""schezwan sauce"",""spring onion"",""soy sauce"",""oil""]",main_course,India,Low
f011,Schezwan Chicken Rice,r008,Spicy fried rice cooked with shredded chicken and Schezwan sauce.,Fried Rice,Non-Veg,"[""rice"",""chicken"",""schezwan sauce"",""spring onion"",""soy sauce"",""oil""]",main_course,India,Moderate
f014,Chicken Biryani,r008,Tamil Nadu style biryani with jeeraga samba rice and tender chicken.,Biryani,Non-Veg,"[""jeeraga samba rice"",""chicken"",""onion"",""tomato"",""ginger garlic paste"",""chili powder"",""biryani masala"",""ghee"",""curd"",""coriander"",""mint"",""oil"",""salt""]",main_course,Tamil Nadu,Moderate
f015,Egg Biryani,r008,Fragrant biryani rice cooked with boiled eggs.,Biryani,Egg,"[""jeeraga samba rice"",""egg"",""onion"",""tomato"",""ginger garlic paste"",""chili powder"",""biryani masala"",""mint"",""curd"",""oil"",""salt""]",main_course,Tamil Nadu,Low
f016,Plain Biryani,r008,Spiced biryani rice without any meat or egg.,Biryani,Veg,"[""jeeraga samba rice"",""onion"",""tomato"",""ginger garlic paste"",""chili powder"",""biryani masala"",""curd"",""mint"",""coriander"",""oil"",""salt""]",main_course,Tamil Nadu,Low
f014,Chicken Biryani,r010,Tamil Nadu style biryani with jeeraga samba rice and tender chicken.,Biryani,Non-Veg,"[""jeeraga samba rice"",""chicken"",""onion"",""tomato"",""ginger garlic paste"",""chili powder"",""biryani masala"",""ghee"",""curd"",""coriander"",""mint"",""oil"",""salt""]",main_course,Tamil Nadu,Moderate
f015,Egg Biryani,r010,Fragrant biryani rice cooked with boiled eggs.,Biryani,Egg,"[""jeeraga samba rice"",""egg"",""onion"",""tomato"",""ginger garlic paste"",""chili powder"",""biryani masala"",""mint"",""curd"",""oil"",""salt""]",main_course,Tamil Nadu,Low
f016,Plain Biryani,r010,Spiced biryani rice without any meat or egg.,Biryani,Veg,"[""jeeraga samba rice"",""onion"",""tomato"",""ginger garlic paste"",""chili powder"",""biryani masala"",""curd"",""mint"",""coriander"",""oil"",""salt""]",main_course,Tamil Nadu,Low
f018,Nattukozhi Biryani,r010,Village style biryani with country chicken.,Biryani,Non-Veg,"[""jeeraga samba rice"",""country chicken"",""onion"",""tomato"",""ginger garlic paste"",""green chili"",""biryani masala"",""ghee"",""mint"",""coriander"",""salt""]",main_course,Tamil Nadu,Low
f001,Veg Fried Rice,r011,Stir-fried long grain rice with mixed vegetables.,Fried Rice,Veg,"[""rice"",""carrot"",""beans"",""peas"",""spring onion""]",main_course,South India,Low
f004,Mushroom Fried Rice,r011,Fried rice mixed with sautéed mushrooms.,Fried Rice,Veg,"[""rice"",""mushroom"",""spring onion""]",main_course,South India,Low
f003,Chicken Fried Rice,r011,Fried rice tossed with chicken pieces.,Fried Rice,Non-Veg,"[""rice"",""chicken"",""spring onion""]",main_course,India,Low
f002,Egg Fried Rice,r011,Fried rice cooked with scrambled eggs.,Fried Rice,Non-Veg,"[""rice"",""egg"",""spring onion""]",main_course,India,Low
f020,Veg Noodles,r011,Stir-fried noodles with vegetables.,Noodles,Veg,"[""noodles"",""carrot"",""beans"",""capsicum""]",main_course,India,Low
f021,Mushroom Noodles,r011,Noodles tossed with mushrooms.,Noodles,Veg,"[""noodles"",""mushroom"",""soy sauce""]",main_course,India,Low
f019,Egg Noodles,r011,Noodles tossed with scrambled eggs.,Noodles,Non-Veg,"[""noodles"",""egg"",""spring onion""]",main_course,India,Low
f024,Chicken Noodles,r011,Noodles tossed with chicken pieces.,Noodles,Non-Veg,"[""noodles"",""chicken"",""soy sauce""]",main_course,India,Low
f018,Veg Biryani,r011,Vegetable biryani cooked with mild spices.,Biryani,Veg,"[""rice"",""vegetables"",""masala""]",main_course,South India,Low
f017,Mushroom Biryani,r011,Biryani cooked with mushrooms.,Biryani,Veg,"[""rice"",""mushroom"",""masala""]",main_course,India,Low
f014,Chicken Biryani,r011,Fragrant biryani with chicken.,Biryani,Non-Veg,"[""rice"",""chicken"",""masala""]",main_course,South India,Low
f016,Mutton Biryani,r011,Slow-cooked mutton biryani.,Biryani,Non-Veg,"[""rice"",""mutton"",""masala""]",main_course,India,Low
f039,Dosa,r011,Classic fermented South Indian dosa.,Dosa,Veg,"[""rice batter"",""urad dal""]",breakfast,South India,Low
f041,Onion Roast,r011,Roast dosa topped with onions.,Dosa,Veg,"[""dosa batter"",""onion""]",breakfast,South India,Low
f043,Ghee Roast,r011,Crispy dosa roasted with ghee.,Dosa,Veg,"[""rice batter"",""ghee""]",breakfast,South India,Low
f042,Onion Uthappam,r011,Thick dosa topped with onions.,Uthappam,Veg,"[""rice batter"",""onion""]",breakfast,South India,Low
f044,Uthappam,r011,Soft thick dosa-like pancake.,Uthappam,Veg,"[""rice batter"",""urad dal""]",breakfast,South India,Low
f036,Idly,r011,Steamed soft rice cakes.,Idly,Veg,"[""rice"",""urad dal""]",breakfast,South India,Low
f027,Chapathi,r011,Whole wheat flatbread.,Breads,Veg,"[""wheat flour"",""water""]",bread,India,Low
f029,Roti,r011,Soft whole wheat roti.,Breads,Veg,"[""wheat flour"",""water""]",bread,India,Low
f028,Phulka,r011,Soft puffed chapathi.,Breads,Veg,"[""wheat flour"",""water""]",bread,India,Low
f026,Parotta,r011,Layered South Indian bread.,Breads,Veg,"[""maida"",""oil""]",bread,Tamil Nadu,Low
f031,Bun Parotta,r011,Soft layered bun-style parotta.,Breads,Veg,"[""maida"",""oil""]",bread,Tamil Nadu,Low
f025,Nool Parotta,r011,Thin string-like layered parotta.,Breads,Veg,"[""maida"",""oil""]",bread,Tamil Nadu,Low
f033,Veechu Parotta,r011,Thin stretched parotta.,Breads,Veg,"[""maida"",""oil""]",bread,Tamil Nadu,Low
f034,Egg Kothu Parotta,r011,Shredded parotta tossed with egg.,Parotta,Non-Veg,"[""parotta"",""egg""]",main_course,Tamil Nadu,Low
f035,Chicken Kothu Parotta,r011,Shredded parotta mixed with chicken.,Parotta,Non-Veg,"[""parotta"",""chicken"",""egg""]",main_course,Tamil Nadu,Low
f030,Wheat Parotta,r011,Layered parotta made with wheat flour.,Breads,Veg,"[""wheat flour"",""oil""]",bread,Tamil Nadu,Low
f037,Tomato Rice,r011,Tangy rice cooked with tomatoes.,Rice,Veg,"[""rice"",""tomato"",""spices""]",main_course,South India,Low
