food_id,food_name,restaurant_id,description,category,veg_nonveg,ingredients,dish_type,popular_in,price_level,food_rating
F1015,Fish Curry,45,Spicy fish curry served at Hotel Darshini Roof. Delicious and popular.,Main Course,Non-Veg,"fish,tamarind,spices",South Indian,Singanallur,₹₹,3.34
F1016,Paneer Butter Masala,25,Creamy paneer curry served at Hotel Flavours Cafe. Delicious and popular.,Main Course,Veg,"paneer,tomato,cream,butter",North Indian,Saibaba Colony,₹₹,3.35
F1017,Parotta,21,Layered flatbread served at Hotel Zaiqa Point. Delicious and popular.,Main Course,Veg,"maida,oil,salt",South Indian,Gandhipuram,₹,3.23
F1018,Parotta,34,Layered flatbread served at Hotel Aroma Stage. Delicious and popular.,Main Course,Veg,"maida,oil,salt",South Indian,Ukkadam,₹,4.94
F1019,Chicken Biryani,35,Fragrant spiced rice with chicken served at Hotel Grand Stage. Delicious and popular.,Main Course,Non-Veg,"chicken,rice,spices",Biriyani,RS Puram,₹₹₹,4.47
F1020,Pongal,2,Savory rice porridge served at Hotel Spice Hub. Delicious and popular.,Breakfast,Veg,"rice,moong dal,pepper",South Indian,Race Course,₹,3.91
F1021,Vada,5,Crispy fried savory donut served at Hotel Zaiqa Garden. Delicious and popular.,Snack,Veg,"urad dal,oil,spices",South Indian,Peelamedu,₹,4.81
F1022,Fish Curry,39,Spicy fish curry served at Hotel Delight Corner. Delicious and popular.,Main Course,Non-Veg,"fish,tamarind,spices",South Indian,Peelamedu,₹₹,4.95
F1023,Vada,37,Crispy fried savory donut served at Hotel Grand Palace. Delicious and popular.,Snack,Veg,"urad dal,oil,spices",South Indian,Peelamedu,₹,4.82
F1024,Parotta,2,Layered flatbread served at Hotel Spice Hub. Delicious and popular.,Main Course,Veg,"maida,oil,salt",South Indian,Ukkadam,₹,4.74
F1025,Mutton Korma,43,Rich mutton gravy served at Hotel Royal Corner. Delicious and popular.,Main Course,Non-Veg,"mutton,cashew,onion,spices",North Indian,Peelamedu,₹₹₹,4.83
F1026,Dosa,29,Crispy pancake served at Hotel Zaiqa Cafe. Delicious and popular.,Breakfast,Veg,"rice,urad dal,fenugreek",South Indian,RS Puram,₹,4.45
F1027,Mutton Korma,4,Rich mutton gravy served at Hotel Flavours Court. Delicious and popular.,Main Course,Non-Veg,"mutton,cashew,onion,spices",North Indian,Saibaba Colony,₹₹₹,3.44
F1028,Falooda,49,Layered sweet dessert drink served at Hotel Spice Corner. Delicious and popular.,Desserts,Veg,"milk,noodles,sabja,rose,syrup,icecream",Desserts,Ukkadam,₹₹,4.78
F1029,Fish Curry,36,Spicy fish curry served at Hotel Sri Krishna Roof. Delicious and popular.,Main Course,Non-Veg,"fish,tamarind,spices",South Indian,Singanallur,₹₹,4.87
F1030,Parotta,31,Layered flatbread served at Hotel Sri Krishna Palace. Delicious and popular.,Main Course,Veg,"maida,oil,salt",South Indian,Saibaba Colony,₹,3.39
F1031,Idli,40,Steamed rice cake served at Hotel Annapoorna Palace. Delicious and popular.,Breakfast,Veg,"rice,urad dal",South Indian,Gandhipuram,₹,3.44
F1032,Chicken Biryani,19,Fragrant spiced rice with chicken served at Hotel Royal Garden. Delicious and popular.,Main Course,Non-Veg,"chicken,rice,spices",Biriyani,RS Puram,₹₹₹,4.31
F1033,Vada,19,Crispy fried savory donut served at Hotel Royal Garden. Delicious and popular.,Snack,Veg,"urad dal,oil,spices",South Indian,Gandhipuram,₹,3.81
F1034,Fish Curry,35,Spicy fish curry served at Hotel Grand Stage. Delicious and popular.,Main Course,Non-Veg,"fish,tamarind,spices",South Indian,Gandhipuram,₹₹,3.97
F1035,Idli,32,Steamed rice cake served at Hotel Zaiqa Corner. Delicious and popular.,Breakfast,Veg,"rice,urad dal",South Indian,Race Course,₹,4.32
F1036,Chicken Biryani,32,Fragrant spiced rice with chicken served at Hotel Zaiqa Corner. Delicious and popular.,Main Course,Non-Veg,"chicken,rice,spices",Biriyani,Singanallur,₹₹₹,4.61
F1037,Parotta,34,Layered flatbread served at Hotel Aroma Stage. Delicious and popular.,Main Course,Veg,"maida,oil,salt",South Indian,Singanallur,₹,4.81
F1038,Dosa,4,Crispy pancake served at Hotel Flavours Court. Delicious and popular.,Breakfast,Veg,"rice,urad dal,fenugreek",South Indian,RS Puram,₹,4.62
F1039,Mutton Korma,24,Rich mutton gravy served at Hotel Aroma Bhurma. Delicious and popular.,Main Course,Non-Veg,"mutton,cashew,onion,spices",North Indian,Ukkadam,₹₹₹,4.66
F1040,Falooda,19,Layered sweet dessert drink served at Hotel Royal Garden. Delicious and popular.,Desserts,Veg,"milk,noodles,sabja,rose,syrup,icecream",Desserts,Singanallur,₹₹,3.62
F1041,Idli,36,Steamed rice cake served at Hotel Sri Krishna Roof. Delicious and popular.,Breakfast,Veg,"rice,urad dal",South Indian,Gandhipuram,₹,4.67
F1042,Butter Naan,45,Soft leavened bread served at Hotel Darshini Roof. Delicious and popular.,Main Course,Veg,"wheat,yeast,butter",North Indian,Saibaba Colony,₹,4.7
F1043,Parotta,1,Layered flatbread served at Hotel Darshini Palace. Delicious and popular.,Main Course,Veg,"maida,oil,salt",South Indian,Saibaba Colony,₹,3.45
F1044,Chicken Biryani,42,Fragrant spiced rice with chicken served at Hotel Royal Corner. Delicious and popular.,Main Course,Non-Veg,"chicken,rice,spices",Biriyani,RS Puram,₹₹₹,4.36
F1045,Vada,45,Crispy fried savory donut served at Hotel Darshini Roof. Delicious and popular.,Snack,Veg,"urad dal,oil,spices",South Indian,Saibaba Colony,₹,4.14
F1046,Pongal,16,Savory rice porridge served at Hotel Aroma Hub. Delicious and popular.,Breakfast,Veg,"rice,moong dal,pepper",South Indian,Saibaba Colony,₹,4.1
F1047,Parotta,22,Layered flatbread served at Hotel Sri Krishna Bhurma. Delicious and popular.,Main Course,Veg,"maida,oil,salt",South Indian,Peelamedu,₹,3.39
F1048,Pongal,19,Savory rice porridge served at Hotel Royal Garden. Delicious and popular.,Breakfast,Veg,"rice,moong dal,pepper",South Indian,Race Course,₹,3.77
F1049,Chicken Biryani,39,Fragrant spiced rice with chicken served at Hotel Delight Corner. Delicious and popular.,Main Course,Non-Veg,"chicken,rice,spices",Biriyani,Gandhipuram,₹₹₹,4.69
F1050,Vada,43,Crispy fried savory donut served at Hotel Royal Corner. Delicious and popular.,Snack,Veg,"urad dal,oil,spices",South Indian,Peelamedu,₹,4.85
F1051,Dosa,32,Crispy pancake served at Hotel Zaiqa Corner. Delicious and popular.,Breakfast,Veg,"rice,urad dal,fenugreek",South Indian,RS Puram,₹,3.94
F1052,Chicken Biryani,36,Fragrant spiced rice with chicken served at Hotel Sri Krishna Roof. Delicious and popular.,Main Course,Non-Veg,"chicken,rice,spices",Biriyani,Singanallur,₹₹₹,4.8
F1053,Vada,39,Crispy fried savory donut served at Hotel Delight Corner. Delicious and popular.,Snack,Veg,"urad dal,oil,spices",South Indian,Saibaba Colony,₹,3.62
F1054,Pongal,28,Savory rice porridge served at Hotel Aroma Bhurma. Delicious and popular.,Breakfast,Veg,"rice,moong dal,pepper",South Indian,Peelamedu,₹,3.43
F1055,Butter Naan,34,Soft leavened bread served at Hotel Aroma Stage. Delicious and popular.,Main Course,Veg,"wheat,yeast,butter",North Indian,Gandhipuram,₹,3.95
F1056,Dosa,14,Crispy pancake served at Hotel Grand Garden. Delicious and popular.,Breakfast,Veg,"rice,urad dal,fenugreek",South Indian,RS Puram,₹,4.33
F1057,Mutton Korma,18,Rich mutton gravy served at Hotel Annapoorna Corner. Delicious and popular.,Main Course,Non-Veg,"mutton,cashew,onion,spices",North Indian,Race Course,₹₹₹,4.52
F1058,Pongal,45,Savory rice porridge served at Hotel Darshini Roof. Delicious and popular.,Breakfast,Veg,"rice,moong dal,pepper",South Indian,Saibaba Colony,₹,4.92
F1059,Fish Curry,2,Spicy fish curry served at Hotel Spice Hub. Delicious and popular.,Main Course,Non-Veg,"fish,tamarind,spices",South Indian,Saibaba Colony,₹₹,4.43
F1060,Mutton Korma,20,Rich mutton gravy served at Hotel Spice Bhurma. Delicious and popular.,Main Course,Non-Veg,"mutton,cashew,onion,spices",North Indian,Peelamedu,₹₹₹,4.49
F1061,Chicken Biryani,29,Fragrant spiced rice with chicken served at Hotel Zaiqa Cafe. Delicious and popular.,Main Course,Non-Veg,"chicken,rice,spices",Biriyani,Singanallur,₹₹₹,3.67
F1062,Pongal,11,Savory rice porridge served at Hotel Grand Garden. Delicious and popular.,Breakfast,Veg,"rice,moong dal,pepper",South Indian,Saibaba Colony,₹,4.48
F1063,Vada,33,Crispy fried savory donut served at Hotel Grand Stage. Delicious and popular.,Snack,Veg,"urad dal,oil,spices",South Indian,Singanallur,₹,4.24
F1064,Fish Curry,11,Spicy fish curry served at Hotel Grand Garden. Delicious and popular.,Main Course,Non-Veg,"fish,tamarind,spices",South Indian,Gandhipuram,₹₹,4.22
F1065,Falooda,42,Layered sweet dessert drink served at Hotel Royal Corner. Delicious and popular.,Desserts,Veg,"milk,noodles,sabja,rose,syrup,icecream",Desserts,Singanallur,₹₹,4.12
F1066,Parotta,13,Layered flatbread served at Hotel Flavours Bhurma. Delicious and popular.,Main Course,Veg,"maida,oil,salt",South Indian,Saibaba Colony,₹,3.38
F1067,Idli,28,Steamed rice cake served at Hotel Aroma Bhurma. Delicious and popular.,Breakfast,Veg,"rice,urad dal",South Indian,Gandhipuram,₹,3.97
F1068,Vada,45,Crispy fried savory donut served at Hotel Darshini Roof. Delicious and popular.,Snack,Veg,"urad dal,oil,spices",South Indian,Gandhipuram,₹,3.56
F1069,Butter Naan,7,Soft leavened bread served at Hotel Darshini Hub. Delicious and popular.,Main Course,Veg,"wheat,yeast,butter",North Indian,Saibaba Colony,₹,4.33
F1070,Dosa,29,Crispy pancake served at Hotel Zaiqa Cafe. Delicious and popular.,Breakfast,Veg,"rice,urad dal,fenugreek",South Indian,Saibaba Colony,₹,4.2
F1071,Fish Curry,8,Spicy fish curry served at Hotel Sri Krishna Corner. Delicious and popular.,Main Course,Non-Veg,"fish,tamarind,spices",South Indian,Saibaba Colony,₹₹,3.92
F1072,Fish Curry,22,Spicy fish curry served at Hotel Sri Krishna Bhurma. Delicious and popular.,Main Course,Non-Veg,"fish,tamarind,spices",South Indian,Peelamedu,₹₹,4.2
F1073,Vada,16,Crispy fried savory donut served at Hotel Aroma Hub. Delicious and popular.,Snack,Veg,"urad dal,oil,spices",South Indian,Race Course,₹,3.37
F1074,Parotta,30,Layered flatbread served at Hotel Delight Garden. Delicious and popular.,Main Course,Veg,"maida,oil,salt",South Indian,Peelamedu,₹,4.97
F1075,Idli,31,Steamed rice cake served at Hotel Sri Krishna Palace. Delicious and popular.,Breakfast,Veg,"rice,urad dal",South Indian,RS Puram,₹,3.54
F1076,Chicken Biryani,8,Fragrant spiced rice with chicken served at Hotel Sri Krishna Corner. Delicious and popular.,Main Course,Non-Veg,"chicken,rice,spices",Biriyani,Gandhipuram,₹₹₹,4.55
F1077,Chicken Biryani,24,Fragrant spiced rice with chicken served at Hotel Aroma Bhurma. Delicious and popular.,Main Course,Non-Veg,"chicken,rice,spices",Biriyani,Peelamedu,₹₹₹,3.21
F1078,Parotta,6,Layered flatbread served at Hotel Flavours Hub. Delicious and popular.,Main Course,Veg,"maida,oil,salt",South Indian,Singanallur,₹,4.72
F1079,Paneer Butter Masala,25,Creamy paneer curry served at Hotel Flavours Cafe. Delicious and popular.,Main Course,Veg,"paneer,tomato,cream,butter",North Indian,Saibaba Colony,₹₹,3.71
F1080,Vada,7,Crispy fried savory donut served at Hotel Darshini Hub. Delicious and popular.,Snack,Veg,"urad dal,oil,spices",South Indian,Gandhipuram,₹,3.73
F1081,Mutton Korma,7,Rich mutton gravy served at Hotel Darshini Hub. Delicious and popular.,Main Course,Non-Veg,"mutton,cashew,onion,spices",North Indian,Saibaba Colony,₹₹₹,3.43
F1082,Fish Curry,31,Spicy fish curry served at Hotel Sri Krishna Palace. Delicious and popular.,Main Course,Non-Veg,"fish,tamarind,spices",South Indian,Saibaba Colony,₹₹,3.79
F1083,Mutton Korma,29,Rich mutton gravy served at Hotel Zaiqa Cafe. Delicious and popular.,Main Course,Non-Veg,"mutton,cashew,onion,spices",North Indian,Gandhipuram,₹₹₹,3.73
F1084,Fish Curry,45,Spicy fish curry served at Hotel Darshini Roof. Delicious and popular.,Main Course,Non-Veg,"fish,tamarind,spices",South Indian,Saibaba Colony,₹₹,4.72
F1085,Fish Curry,18,Spicy fish curry served at Hotel Annapoorna Corner. Delicious and popular.,Main Course,Non-Veg,"fish,tamarind,spices",South Indian,Saibaba Colony,₹₹,4.37
F1086,Idli,32,Steamed rice cake served at Hotel Zaiqa Corner. Delicious and popular.,Breakfast,Veg,"rice,urad dal",South Indian,Saibaba Colony,₹,4.18
F1087,Mutton Korma,36,Rich mutton gravy served at Hotel Sri Krishna Roof. Delicious and popular.,Main Course,Non-Veg,"mutton,cashew,onion,spices",North Indian,Singanallur,₹₹₹,3.76
F1088,Butter Naan,24,Soft leavened bread served at Hotel Aroma Bhurma. Delicious and popular.,Main Course,Veg,"wheat,yeast,butter",North Indian,Saibaba Colony,₹,3.96
F1089,Butter Naan,29,Soft leavened bread served at Hotel Zaiqa Cafe. Delicious and popular.,Main Course,Veg,"wheat,yeast,butter",North Indian,Singanallur,₹,3.25
F1090,Dosa,19,Crispy pancake served at Hotel Royal Garden. Delicious and popular.,Breakfast,Veg,"rice,urad dal,fenugreek",South Indian,Saibaba Colony,₹,4.33
F1091,Chicken Biryani,20,Fragrant spiced rice with chicken served at Hotel Spice Bhurma. Delicious and popular.,Main Course,Non-Veg,"chicken,rice,spices",Biriyani,Gandhipuram,₹₹₹,3.27
F1092,Fish Curry,39,Spicy fish curry served at Hotel Delight Corner. Delicious and popular.,Main Course,Non-Veg,"fish,tamarind,spices",South Indian,Singanallur,₹₹,4.77
F1093,Vada,16,Crispy fried savory donut served at Hotel Aroma Hub. Delicious and popular.,Snack,Veg,"urad dal,oil,spices",South Indian,Peelamedu,₹,3.68
F1094,Parotta,15,Layered flatbread served at Hotel Darshini Palace. Delicious and popular.,Main Course,Veg,"maida,oil,salt",South Indian,Peelamedu,₹,4.26
F1095,Fish Curry,43,Spicy fish curry served at Hotel Royal Corner. Delicious and popular.,Main Course,Non-Veg,"fish,tamarind,spices",South Indian,Gandhipuram,₹₹,3.82
F1096,Paneer Butter Masala,36,Creamy paneer curry served at Hotel Sri Krishna Roof. Delicious and popular.,Main Course,Veg,"paneer,tomato,cream,butter",North Indian,RS Puram,₹₹,3.54
F1097,Butter Naan,46,Soft leavened bread served at Hotel Sri Krishna Bhurma. Delicious and popular.,Main Course,Veg,"wheat,yeast,butter",North Indian,Saibaba Colony,₹,3.44
F1098,Butter Naan,28,Soft leavened bread served at Hotel Aroma Bhurma. Delicious and popular.,Main Course,Veg,"wheat,yeast,butter",North Indian,Singanallur,₹,4.1
F1099,Dosa,31,Crispy pancake served at Hotel Sri Krishna Palace. Delicious and popular.,Breakfast,Veg,"rice,urad dal,fenugreek",South Indian,Gandhipuram,₹,3.83
F1100,Dosa,46,Crispy pancake served at Hotel Sri Krishna Bhurma. Delicious and popular.,Breakfast,Veg,"rice,urad dal,fenugreek",South Indian,Gandhipuram,₹,3.41
F1101,Mutton Korma,41,Rich mutton gravy served at Hotel Zaiqa Point. Delicious and popular.,Main Course,Non-Veg,"mutton,cashew,onion,spices",North Indian,Singanallur,₹₹₹,3.43
F1102,Mutton Korma,21,Rich mutton gravy served at Hotel Zaiqa Point. Delicious and popular.,Main Course,Non-Veg,"mutton,cashew,onion,spices",North Indian,Singanallur,₹₹₹,3.5
F1103,Parotta,47,Layered flatbread served at Hotel Royal Point. Delicious and popular.,Main Course,Veg,"maida,oil,salt",South Indian,Ukkadam,₹,4.23
F1104,Paneer Butter Masala,49,Creamy paneer curry served at Hotel Spice Corner. Delicious and popular.,Main Course,Veg,"paneer,tomato,cream,butter",North Indian,Saibaba Colony,₹₹,4.16
F1105,Pongal,18,Savory rice porridge served at Hotel Annapoorna Corner. Delicious and popular.,Breakfast,Veg,"rice,moong dal,pepper",South Indian,Singanallur,₹,4.31
F1106,Fish Curry,10,Spicy fish curry served at Hotel Flavours Stage. Delicious and popular.,Main Course,Non-Veg,"fish,tamarind,spices",South Indian,Saibaba Colony,₹₹,4.59
F1107,Parotta,11,Layered flatbread served at Hotel Grand Garden. Delicious and popular.,Main Course,Veg,"maida,oil,salt",South Indian,Ukkadam,₹,3.65
F1108,Falooda,4,Layered sweet dessert drink served at Hotel Flavours Court. Delicious and popular.,Desserts,Veg,"milk,noodles,sabja,rose,syrup,icecream",Desserts,Singanallur,₹₹,4.09
F1109,Chicken Biryani,44,Fragrant spiced rice with chicken served at Hotel Delight Point. Delicious and popular.,Main Course,Non-Veg,"chicken,rice,spices",Biriyani,Ukkadam,₹₹₹,3.23
F1110,Vada,9,Crispy fried savory donut served at Hotel Flavours Hub. Delicious and popular.,Snack,Veg,"urad dal,oil,spices",South Indian,Gandhipuram,₹,3.55
F1111,Paneer Butter Masala,4,Creamy paneer curry served at Hotel Flavours Court. Delicious and popular.,Main Course,Veg,"paneer,tomato,cream,butter",North Indian,Saibaba Colony,₹₹,4.79
F1112,Idli,1,Steamed rice cake served at Hotel Darshini Palace. Delicious and popular.,Breakfast,Veg,"rice,urad dal",South Indian,Ukkadam,₹,3.66
F1113,Parotta,26,Layered flatbread served at Hotel Grand Garden. Delicious and popular.,Main Course,Veg,"maida,oil,salt",South Indian,RS Puram,₹,3.48
F1114,Fish Curry,13,Spicy fish curry served at Hotel Flavours Bhurma. Delicious and popular.,Main Course,Non-Veg,"fish,tamarind,spices",South Indian,Ukkadam,₹₹,3.85
F1115,Idli,3,Steamed rice cake served at Hotel Grand Point. Delicious and popular.,Breakfast,Veg,"rice,urad dal",South Indian,Gandhipuram,₹,4.16
F1116,Vada,49,Crispy fried savory donut served at Hotel Spice Corner. Delicious and popular.,Snack,Veg,"urad dal,oil,spices",South Indian,Gandhipuram,₹,3.86
F1117,Idli,43,Steamed rice cake served at Hotel Royal Corner. Delicious and popular.,Breakfast,Veg,"rice,urad dal",South Indian,Singanallur,₹,4.49
F1118,Butter Naan,1,Soft leavened bread served at Hotel Darshini Palace. Delicious and popular.,Main Course,Veg,"wheat,yeast,butter",North Indian,RS Puram,₹,4.1
F1119,Chicken Biryani,48,Fragrant spiced rice with chicken served at Hotel Flavours Palace. Delicious and popular.,Main Course,Non-Veg,"chicken,rice,spices",Biriyani,RS Puram,₹₹₹,3.67
F1120,Vada,37,Crispy fried savory donut served at Hotel Grand Palace. Delicious and popular.,Snack,Veg,"urad dal,oil,spices",South Indian,Saibaba Colony,₹,3.64
F1121,Vada,27,Crispy fried savory donut served at Hotel Delight Point. Delicious and popular.,Snack,Veg,"urad dal,oil,spices",South Indian,Ukkadam,₹,4.47
F1122,Falooda,43,Layered sweet dessert drink served at Hotel Royal Corner. Delicious and popular.,Desserts,Veg,"milk,noodles,sabja,rose,syrup,icecream",Desserts,Singanallur,₹₹,3.27
F1123,Pongal,9,Savory rice porridge served at Hotel Flavours Hub. Delicious and popular.,Breakfast,Veg,"rice,moong dal,pepper",South Indian,RS Puram,₹,3.82
F1124,Falooda,43,Layered sweet dessert drink served at Hotel Royal Corner. Delicious and popular.,Desserts,Veg,"milk,noodles,sabja,rose,syrup,icecream",Desserts,Saibaba Colony,₹₹,3.86
F1125,Paneer Butter Masala,39,Creamy paneer curry served at Hotel Delight Corner. Delicious and popular.,Main Course,Veg,"paneer,tomato,cream,butter",North Indian,RS Puram,₹₹,3.84
F1126,Dosa,38,Crispy pancake served at Hotel Aroma Corner. Delicious and popular.,Breakfast,Veg,"rice,urad dal,fenugreek",South Indian,Peelamedu,₹,4.87
F1127,Falooda,18,Layered sweet dessert drink served at Hotel Annapoorna Corner. Delicious and popular.,Desserts,Veg,"milk,noodles,sabja,rose,syrup,icecream",Desserts,Race Course,₹₹,3.92
F1128,Mutton Korma,24,Rich mutton gravy served at Hotel Aroma Bhurma. Delicious and popular.,Main Course,Non-Veg,"mutton,cashew,onion,spices",North Indian,Saibaba Colony,₹₹₹,3.78
F1129,Paneer Butter Masala,22,Creamy paneer curry served at Hotel Sri Krishna Bhurma. Delicious and popular.,Main Course,Veg,"paneer,tomato,cream,butter",North Indian,Singanallur,₹₹,3.36
F1130,Dosa,7,Crispy pancake served at Hotel Darshini Hub. Delicious and popular.,Breakfast,Veg,"rice,urad dal,fenugreek",South Indian,Race Course,₹,4.14
F1131,Butter Naan,44,Soft leavened bread served at Hotel Delight Point. Delicious and popular.,Main Course,Veg,"wheat,yeast,butter",North Indian,Saibaba Colony,₹,3.67
F1132,Mutton Korma,2,Rich mutton gravy served at Hotel Spice Hub. Delicious and popular.,Main Course,Non-Veg,"mutton,cashew,onion,spices",North Indian,Gandhipuram,₹₹₹,3.91
F1133,Mutton Korma,47,Rich mutton gravy served at Hotel Royal Point. Delicious and popular.,Main Course,Non-Veg,"mutton,cashew,onion,spices",North Indian,Peelamedu,₹₹₹,4.89
F1134,Paneer Butter Masala,23,Creamy paneer curry served at Hotel Spice Court. Delicious and popular.,Main Course,Veg,"paneer,tomato,cream,butter",North Indian,Saibaba Colony,₹₹,3.63
F1135,Idli,24,Steamed rice cake served at Hotel Aroma Bhurma. Delicious and popular.,Breakfast,Veg,"rice,urad dal",South Indian,Ukkadam,₹,4.41
F1136,Fish Curry,13,Spicy fish curry served at Hotel Flavours Bhurma. Delicious and popular.,Main Course,Non-Veg,"fish,tamarind,spices",South Indian,Singanallur,₹₹,4.58
F1137,Dosa,11,Crispy pancake served at Hotel Grand Garden. Delicious and popular.,Breakfast,Veg,"rice,urad dal,fenugreek",South Indian,Gandhipuram,₹,3.79
F1138,Parotta,37,Layered flatbread served at Hotel Grand Palace. Delicious and popular.,Main Course,Veg,"maida,oil,salt",South Indian,Singanallur,₹,4.71
F1139,Idli,37,Steamed rice cake served at Hotel Grand Palace. Delicious and popular.,Breakfast,Veg,"rice,urad dal",South Indian,Ukkadam,₹,4.25
F1140,Vada,25,Crispy fried savory donut served at Hotel Flavours Cafe. Delicious and popular.,Snack,Veg,"urad dal,oil,spices",South Indian,Ukkadam,₹,3.37
F1141,Parotta,28,Layered flatbread served at Hotel Aroma Bhurma. Delicious and popular.,Main Course,Veg,"maida,oil,salt",South Indian,Gandhipuram,₹,3.3
F1142,Butter Naan,42,Soft leavened bread served at Hotel Royal Corner. Delicious and popular.,Main Course,Veg,"wheat,yeast,butter",North Indian,Gandhipuram,₹,4.57
F1143,Idli,13,Steamed rice cake served at Hotel Flavours Bhurma. Delicious and popular.,Breakfast,Veg,"rice,urad dal",South Indian,Saibaba Colony,₹,4.25
F1144,Vada,19,Crispy fried savory donut served at Hotel Royal Garden. Delicious and popular.,Snack,Veg,"urad dal,oil,spices",South Indian,Gandhipuram,₹,4.94
F1145,Falooda,26,Layered sweet dessert drink served at Hotel Grand Garden. Delicious and popular.,Desserts,Veg,"milk,noodles,sabja,rose,syrup,icecream",Desserts,Gandhipuram,₹₹,4.99
F1146,Falooda,35,Layered sweet dessert drink served at Hotel Grand Stage. Delicious and popular.,Desserts,Veg,"milk,noodles,sabja,rose,syrup,icecream",Desserts,Ukkadam,₹₹,4.78
F1147,Butter Naan,38,Soft leavened bread served at Hotel Aroma Corner. Delicious and popular.,Main Course,Veg,"wheat,yeast,butter",North Indian,Race Course,₹,4.03
F1148,Vada,12,Crispy fried savory donut served at Hotel Grand Cafe. Delicious and popular.,Snack,Veg,"urad dal,oil,spices",South Indian,Race Course,₹,4.28
F1149,Vada,22,Crispy fried savory donut served at Hotel Sri Krishna Bhurma. Delicious and popular.,Snack,Veg,"urad dal,oil,spices",South Indian,RS Puram,₹,4.41
F1150,Dosa,2,Crispy pancake served at Hotel Spice Hub. Delicious and popular.,Breakfast,Veg,"rice,urad dal,fenugreek",South Indian,Race Course,₹,4.22
F1151,Falooda,6,Layered sweet dessert drink served at Hotel Flavours Hub. Delicious and popular.,Desserts,Veg,"milk,noodles,sabja,rose,syrup,icecream",Desserts,Peelamedu,₹₹,3.88
F1152,Mutton Korma,38,Rich mutton gravy served at Hotel Aroma Corner. Delicious and popular.,Main Course,Non-Veg,"mutton,cashew,onion,spices",North Indian,Saibaba Colony,₹₹₹,4.12
F1153,Chicken Biryani,45,Fragrant spiced rice with chicken served at Hotel Darshini Roof. Delicious and popular.,Main Course,Non-Veg,"chicken,rice,spices",Biriyani,Race Course,₹₹₹,3.4
F1154,Vada,28,Crispy fried savory donut served at Hotel Aroma Bhurma. Delicious and popular.,Snack,Veg,"urad dal,oil,spices",South Indian,Saibaba Colony,₹,3.8
F1155,Parotta,20,Layered flatbread served at Hotel Spice Bhurma. Delicious and popular.,Main Course,Veg,"maida,oil,salt",South Indian,Gandhipuram,₹,4.43
F1156,Mutton Korma,21,Rich mutton gravy served at Hotel Zaiqa Point. Delicious and popular.,Main Course,Non-Veg,"mutton,cashew,onion,spices",North Indian,Singanallur,₹₹₹,3.45
F1157,Falooda,15,Layered sweet dessert drink served at Hotel Darshini Palace. Delicious and popular.,Desserts,Veg,"milk,noodles,sabja,rose,syrup,icecream",Desserts,Ukkadam,₹₹,4.8
